DateTime;Scheduled flights;Tracked flights
18/02/2022;148;139
19/02/2022;147;143
20/02/2022;162;153
21/02/2022;136;131
22/02/2022;99;97
23/02/2022;108;106
24/02/2022;109;102
25/02/2022;155;149
26/02/2022;143;141
27/02/2022;160;151
28/02/2022;146;138
01/03/2022;111;108
02/03/2022;117;109
03/03/2022;123;118
04/03/2022;160;152
05/03/2022;162;160
06/03/2022;180;170
07/03/2022;144;137
08/03/2022;115;106
09/03/2022;113;107
10/03/2022;122;117
11/03/2022;159;149
12/03/2022;148;140
13/03/2022;174;166
14/03/2022;140;131
15/03/2022;116;109
16/03/2022;118;110
17/03/2022;115;110
18/03/2022;164;155
19/03/2022;156;153
